User_ID,Customer_Name,Gender,Age,Age_Group,Generation,Marital_Status,Occupation,State,Zone,Product_ID,Product_Category,Orders,Amount,Avg_Order_Value,Customer_Segment
1002903,Sanskriti,Female,28,26-35,Adult,Single,Healthcare,Maharashtra,Western,P00125942,Auto,1,23952,23952,High Value
1000732,Kartik,Female,35,26-35,Adult,Married,Govt,Andhra Pradesh,Southern,P00110942,Auto,3,23934,7978,High Value
1001990,Bindu,Female,35,26-35,Adult,Married,Automobile,Uttar Pradesh,Central,P00118542,Auto,3,23924,7975,High Value
1001425,Sudevi,Male,16,0-17,Teen,Single,Construction,Karnataka,Southern,P00237842,Auto,2,23912,11956,High Value
1000588,Joni,Male,28,26-35,Adult,Married,Food Processing,Gujarat,Western,P00057942,Auto,2,23877,11938,High Value
1000588,Joni,Male,28,26-35,Adult,Married,Food Processing,Himachal Pradesh,Northern,P00057942,Auto,1,23877,23877,High Value
1001132,Balk,Female,25,18-25,Youth,Married,Lawyer,Uttar Pradesh,Central,P00018042,Auto,4,23841,5960,High Value
1003224,Kushal,Male,35,26-35,Adult,Single,Govt,Uttar Pradesh,Central,P00205642,Auto,2,23809,11904,High Value
1003650,Ginny,Female,26,26-35,Adult,Married,Media,Andhra Pradesh,Southern,P00031142,Auto,4,23799,5950,High Value
1003829,Harshita,Male,34,26-35,Adult,Single,Banking,Delhi,Central,P00200842,Auto,1,23770,23770,High Value
1000214,Kargatis,Female,20,18-25,Youth,Single,Retail,Andhra Pradesh,Southern,P00119142,Auto,2,23752,11876,High Value
1004035,Elijah,Female,20,18-25,Youth,Married,IT Sector,Andhra Pradesh,Southern,P00080342,Auto,2,23730,11865,High Value
1001680,Vasudev,Male,26,26-35,Adult,Married,Automobile,Andhra Pradesh,Southern,P00324942,Auto,4,23718,5930,High Value
1000813,Lauren,Female,24,18-25,Youth,Single,Govt,Andhra Pradesh,Southern,P00289942,Auto,2,23664,11832,High Value
1001193,Mick,Female,29,26-35,Adult,Single,Aviation,Andhra Pradesh,Southern,P00004842,Auto,1,23619,23619,High Value
1001883,Praneet,Male,54,51-55,Senior,Married,Hospitality,Uttar Pradesh,Central,P00029842,Auto,1,23568,23568,High Value
1001883,Praneet,Male,54,51-55,Senior,Married,Hospitality,Uttar Pradesh,Central,P00029842,Auto,1,23568,23568,High Value
